station_id,x,y,epsg,location,province
EMBALSE DE BENAGÉBER,662938.9993653693,4399125.02936037,25830,Benagéber,Valencia
EMBALSE DE BENIARRÉS,729552.0073423673,4299557.006421758,25830,Beniarrés,Alicante
EMBALSE DE BUSEO,676772.9605699517,4384927.007130486,25830,Chera,Valencia
EMBALSE DE CORTES II,679385.039068416,4347982.021806085,25830,Cortes de Pallás,Valencia
EMBALSE DE EL NARANJERO,685093.0315633353,4350030.948945384,25830,Cortes de Pallás,Valencia
EMBALSE DE ESCALONA,699178.028769948,4333526.005760703,25830,Navarrés,Valencia
EMBALSE DE FORATA,684044.9927632462,4356734.045313436,25830,Yátova,Valencia
EMBALSE DE GUADALEST,744260.989114767,4284961.990682292,25830,Guadalest,Alicante
EMBALSE DE ISBERT,752162.4252673162,4297229.527863041,25830,Vall de Laguart,Alicante
EMBALSE DE L'ALCORA,737201.9693046494,4442370.958183735,25830,Alcora,Castellón
EMBALSE DE LA MUELA,678795.0301635351,4345358.955310319,25830,Cortes de Pallás,Valencia
EMBALSE DE LA TOBA,591666.0209671953,4451707.9480857095,25830,Uña,Cuenca
EMBALSE DE LORIGUILLA,679004.0351055379,4392673.024045803,25830,Loriguilla,Valencia
EMBALSE DE LOS TORANES,692494.1713041198,4446323.757890719,25830,Sarrión,Teruel
EMBALSE DE MARÍA CRISTINA,742175.9807874452,4434751.005333401,25830,Alcora,Castellón
EMBALSE DE MORA,691816.0143860977,4461445.025188462,25830,Mora de Rubielos,Teruel
EMBALSE DE ONDA,727937.5273873631,4424131.092041233,25830,Alcudia de Veo,Castellón
EMBALSE DE REGAJO,711660.9538344857,4418470.180449443,25830,Jérica,Castellón
EMBALSE DE RIBESALBES,728657.5111168378,4434148.605468164,25830,Fanzara,Castellón
EMBALSE DE SICHAR,736154.0391315811,4432590.999568375,25830,Onda,Castellón
EMBALSE DE TERRATEIG,733339.008260268,4310399.037738799,25830,Terrateig,Valencia
EMBALSE DE TIBI,713044.5668267846,4264046.361783796,25830,Tibi,Alicante
EMBALSE DE TOUS,703541.9585182073,4334043.984591008,25830,Tous,Valencia
EMBALSE DE ULLDECONA,773321.0092183154,4507235.015607328,25830,La Pobla de Benifassà,Castellón
EMBALSE DE VALBONA,685565.9631249702,4458241.030800446,25830,Valbona,Teruel
ENGUERA BENALÍ,696121.0216424543,4319384.965119269,25830,Enguera,Valencia
ENGUERA LA MATEA,680050.9743806231,4314275.019976261,25830,Enguera,Valencia
ENGUÍDANOS,619006.9901637061,4392130.051173715,25830,Enguídanos,Cuenca
FONT DE LA FIGUERA,683778.0356168372,4297123.983762087,25830,Font de la Figuera,Valencia
FREDES,767660.0409951019,4509658.997197651,25830,La Pobla de Benifassà,Castellón
GRAJA DE INIESTA,613822.9776041635,4374807.006595937,25830,Graja de Iniesta,Cuenca
GRIEGOS,608167.0068450449,4475503.96422733,25830,Griegos,Teruel
