station_id,x,y,location,province
EMBALSE DE MARÍA CRISTINA,742175.9807874452,4434751.005333401,Alcora,Castellón
EMBALSE DE MORA,691816.0143860977,4461445.025188462,Mora de Rubielos,Teruel
EMBALSE DE ONDA,727937.5273873631,4424131.092041233,Alcudia de Veo,Castellón
EMBALSE DE REGAJO,711660.9538344857,4418470.180449443,Jérica,Castellón
EMBALSE DE RIBESALBES,728657.5111168378,4434148.605468164,Fanzara,Castellón
EMBALSE DE SICHAR,736154.0391315811,4432590.999568375,Onda,Castellón
EMBALSE DE TERRATEIG,733339.008260268,4310399.037738799,Terrateig,Valencia
EMBALSE DE TIBI,713044.5668267846,4264046.361783796,Tibi,Alicante
EMBALSE DE TOUS,703541.9585182073,4334043.984591008,Tous,Valencia
EMBALSE DE ULLDECONA,773321.0092183154,4507235.015607328,La Pobla de Benifassà,Castellón
EMBALSE DE VALBONA,685565.9631249702,4458241.030800446,Valbona,Teruel
ENGUERA BENALÍ,696121.0216424543,4319384.965119269,Enguera,Valencia
ENGUERA LA MATEA,680050.9743806231,4314275.019976261,Enguera,Valencia
ENGUÍDANOS,619006.9901637061,4392130.051173715,Enguídanos,Cuenca
FONT DE LA FIGUERA,683778.0356168372,4297123.983762087,Font de la Figuera,Valencia
FREDES,767660.0409951019,4509658.997197651,La Pobla de Benifassà,Castellón
GRAJA DE INIESTA,613822.9776041635,4374807.006595937,Graja de Iniesta,Cuenca
GRIEGOS,608167.0068450449,4475503.96422733,Griegos,Teruel
GÚDAR,693464.9862927399,4479228.961417212,Gúdar,Teruel
HIGUERUELA,635762.9911175183,4313378.976673492,Higueruela,Albacete
IBI,711568.9708017416,4278631.054275943,Ibi,Alicante
LA CARRASCA-PEGO,745061.0386905276,4301708.965700017,Vall de Gallinera,Alicante
LA CIERVA,598072.04071927,4434703.959301311,La Cierva,Cuenca
LA CUEVA SANTA,704707.4916469946,4413125.035797344,Altura,Castellón
LA CUEVARRUZ,672208.995370545,4422567.019926454,Alpuente,Valencia
LA RODA,573125.0157389676,4340604.974627314,La Roda,Albacete
LAGUNA DEL MARQUESADO,613036.9732359978,4448292.976837806,Laguna del Marquesado,Cuenca
LANDETE,638341.0285704116,4420551.027673712,Landete,Cuenca
LUCENA DEL CID,730677.0125039906,4446703.95161165,Lucena del Cid,Castellón
MC ALCALALÍ,755369.9865493358,4294184.014668156,Murla,Alicante
MC ATZENETA DEL MAESTRAT,743214.9717564789,4458910.985097834,Atzeneta del Maestrat,Castellón
MC BARRANCO DE LA CASELLA,721048.0161412725,4336252.020413568,Alzira,Valencia
MC BARRANCO MALET (VACA),733003.4918206765,4327029.3741316805,Simat de la Valldigna,Valencia
MC CALLOSA ALGAR,752448.0086516548,4282567.0232175,Callosa d'en Sarrià,Alicante
MC CARRAIXET BÉTERA,716998.8164976557,4387165.5990134105,Bétera,Valencia
MC CASTELLÓ,714815.6248091686,4326998.897315471,Castelló,Valencia
MC CERVERA DEL MAESTRE,779902.9956413466,4484957.979660814,Cervera del Maestre,Castellón
MC CHINCHILLA,606338.8321910067,4302450.329544955,Chinchilla,Albacete
MC CÀRCER,710215.2345154663,4326589.860244119,Càrcer,Valencia
MC ELDA,691843.977435672,4261394.957104317,Elda,Alicante
MC ESTUBENY,705849.999641309,4321604.017205164,Estubeny,Valencia
MC FORMICHE ALTO,678976.0800053828,4465703.247694021,Formiche Alto,Teruel
MC GALLINERA L'ATZÚBIA,744032.9983735862,4302800.042697804,L'Atzúbia,Alicante
MC MANUEL,716736.6607858542,4324339.448575824,Manuel,Valencia
MC MOIXENT,694029.960809857,4304791.012039449,Moixent,Valencia
MC MURO DE ALCOI,724619.0054924792,4295552.041087744,Muro de Alcoi,Alicante
MC MUTXAMEL,722045.964668361,4257364.002780527,Mutxamel,Alicante
MC ONTINYENT,707892.6231851298,4300322.68717969,Ontinyent,Valencia
MC QUINTANAR DEL REY,591984.0067971947,4356508.978777183,Quintanar del Rey,Cuenca
MC RAMBLA CASTELLANA,700635.277587445,4389085.031563716,Pedralba,Valencia
MC RAMBLA POYO N-III,707809.8533295827,4372099.992135853,Riba-roja,Valencia
MC REAL,707733.3929449405,4355522.819891221,Real,Valencia
MC SALVACAÑETE,627467.964358727,4440706.95648897,Salvacañete,Cuenca
MC TRAIGUERA,782271.0417298134,4495197.963695335,Traiguera,Castellón
MC TURÍS,697415.0246363209,4357669.022024238,Turís,Valencia
MC VALL D'ALBA,748614.9904308382,4453828.952736791,Vall d'Alba,Castellón
MC VERNISSA,738672.03910151,4313275.976320874,Rótova,Valencia
MC VILAMARXANT,704384.8913075638,4384007.894555581,Vilamarxant,Valencia
MC VILLATOYA,643511.0350049243,4354796.049558539,Villatoya,Albacete
MILLARES,695854.0177909131,4343936.9582759505,Millares,Valencia
MILLENA,728849.0295297685,4290239.034781348,Millena,Alicante
MOSQUERUELA,717246.9865420761,4470899.001659947,Mosqueruela,Teruel
NOGUERUELAS,701127.0379430484,4456444.977633077,Nogueruelas,Teruel
PARADA 14 - PICASSENT,717018.5126379338,4363458.523635333,Picassent,Valencia
PEÑA DEL CUERNO,750639.6819285903,4441998.9025760805,Vilafamés,Castellón
PINA,702381.9851114028,4433623.995130315,Pina de Montalgrao,Castellón
PINET,730845.9644053702,4318450.979474781,Pinet,Valencia
PORTACELI,716100.7841834128,4395736.276480374,Serra,Valencia
PUERTOMINGALVO,715814.8272728437,4459714.497527939,Puertomingalvo,Teruel
SARRATELLA,757619.0080231574,4465491.9954325855,Sarratella,Castellón
SAX,690315.9995321552,4272513.96303334,Sax,Alicante
SERRA GELADA,756021.9794483469,4271631.050669938,l'Alfás del Pi,Alicante
SERRA GROSSA,702060.0289582566,4303690.051705676,Vallada,Valencia
SERRA SIT,698329.9810792699,4257940.949362536,Petrer,Alicante
SIERRA AVE,692952.02274765,4351362.950822377,Dos Aguas,Valencia
SIETE AGUAS,680666.0231111671,4373131.04492279,Siete Aguas,Valencia
SOT DE FERRER,721747.7674090622,4409200.427683206,Sot de Ferrer,Castellón
TALAYUELO,579374.0075134754,4422857.028157572,Arcas de Villar,Cuenca
TANCAT DE LA PIPA,728585.4040088308,4360134.870698724,Valencia,Valencia
TORRE MACANES,724804.012869108,4276583.9471596535,Torre de les Maçanes,Alicante
TORRIJAS,671507.6737706454,4435549.4994388595,Torrijas,Teruel
TÍO CALORES,580545.980515389,4391480.96070889,Barchín del Hoyo,Cuenca
UTIEL,660401.967034815,4388371.043368908,Utiel,Valencia
VALDECUENCA,635002.0061039173,4462094.970555974,Valdecuenca,Teruel
VALDELINARES,700548.0297565802,4472795.978358399,Valdelinares,Teruel
VALENCIA,727259.535981726,4372971.936624126,Valencia,Valencia
VALLIBONA,754668.9823233567,4496953.9459526455,Morella,Castellón
VILLAMALEA,620100.9907935695,4358026.99032371,Villamalea,Albacete
XERT,767627.9856036787,4489638.948194773,Xert,Castellón
ZARZUELA,573581.961011558,4457099.9729038635,Zarzuela,Cuenca
